rainfall_1h,rainfall_24h,rainfall_72h,slope_angle,soil_moisture_proxy,historical_landslide_count,landslide_occurred
59.21,189.52,525.22,20.2,79.1,6,1
10.77,54.6,109.95,41.2,24.5,7,0
0.71,8.1,52.83,34.7,25.2,8,0
21.84,99.35,204.52,28.7,43.4,13,0
7.09,38.06,65.24,37.1,23.1,2,0
1.91,35.47,71.91,50.2,31.1,7,0
3.65,30.31,48.84,33.5,28.4,6,0
2.12,47.41,109.52,34.0,37.1,2,0
0.98,13.65,30.72,28.3,27.1,5,0
58.18,188.2,375.56,25.2,59.0,6,1
5.21,28.79,62.39,38.6,23.0,6,0
37.01,180.64,436.58,25.2,57.2,8,1
2.71,29.98,72.1,32.6,28.3,11,0
2.57,11.68,44.38,28.2,22.4,4,0
3.79,18.78,49.77,35.8,23.4,6,0
6.21,26.62,113.78,34.7,37.0,3,0
8.36,24.52,46.41,40.3,31.5,8,0
2.37,25.35,176.81,27.9,31.5,8,0
5.3,29.4,71.18,29.8,26.1,6,0
2.96,95.29,204.19,24.2,38.3,8,0
7.56,27.66,54.63,28.4,27.0,9,0
1.08,44.0,94.08,35.0,18.1,8,0
1.78,16.83,38.36,38.1,16.5,10,0
42.93,163.38,288.6,24.6,48.3,6,0
58.99,311.1,585.74,39.0,82.5,7,1
5.11,53.75,82.01,42.8,28.6,11,0
20.18,90.17,174.32,35.3,40.8,5,1
46.18,169.64,329.34,47.0,53.9,6,1
3.7,129.2,242.45,25.8,50.6,6,0
3.26,33.17,82.79,22.0,35.7,10,0
5.5,20.34,37.71,17.8,20.0,9,0
10.03,41.36,73.82,44.0,31.8,4,0
11.05,68.3,144.82,37.2,37.0,5,0
6.66,55.59,143.74,31.6,46.9,7,0
6.16,51.65,115.84,34.2,27.6,10,0
17.86,49.66,87.99,23.0,28.2,6,0
2.9,82.83,186.41,51.6,33.5,7,0
10.73,46.88,157.61,33.0,30.9,6,0
15.27,88.44,190.34,32.9,41.0,7,0
4.06,15.14,147.47,37.8,35.8,5,0
7.84,108.33,562.99,35.8,79.0,3,1
2.84,29.83,117.43,33.8,34.3,5,0
1.04,24.09,50.65,25.7,23.9,3,0
5.3,89.68,132.78,35.8,32.1,10,0
1.31,69.57,162.93,47.1,31.4,8,0
3.67,16.01,174.62,42.8,34.0,12,0
12.38,110.32,182.68,44.7,38.0,5,1
0.54,34.87,93.34,27.9,30.3,5,0
0.19,1.23,113.78,24.1,34.9,6,0
5.6,23.92,97.26,31.0,32.8,3,0
2.41,19.82,68.35,32.4,34.6,7,0
28.93,107.79,243.28,40.8,39.5,4,0
3.12,40.25,60.95,18.5,24.9,6,0
0.54,7.3,38.33,44.2,19.4,7,0
0.02,45.36,170.44,30.7,43.4,8,0
13.72,89.92,200.69,28.6,37.6,5,0
1.47,29.8,62.22,23.9,32.0,6,0
3.33,77.15,172.81,18.8,44.5,8,0
21.44,131.66,223.16,38.6,44.4,7,1
10.52,36.63,81.59,32.6,29.6,5,0
0.69,41.95,65.36,21.7,26.7,6,0
4.26,92.61,212.08,21.6,39.6,7,0
7.86,35.99,163.86,29.3,34.2,6,0
7.19,128.06,323.62,45.4,51.6,7,1
8.58,22.21,75.44,29.9,36.7,4,0
3.67,30.67,90.43,20.0,23.8,7,0
1.16,41.78,98.16,30.0,30.8,7,0
3.75,54.66,164.05,29.8,40.0,5,0
6.26,49.61,86.99,12.0,27.3,7,0
5.63,40.57,82.74,31.6,30.4,6,0
0.44,27.67,41.91,30.2,16.7,5,0
0.4,31.16,85.34,37.6,35.2,13,0
20.16,87.17,201.62,46.8,45.8,7,0
0.99,25.42,192.58,41.0,38.8,7,0
2.09,55.15,125.79,29.8,28.2,5,0
8.76,44.25,117.81,23.1,35.7,11,0
3.16,31.75,54.91,52.6,19.8,3,0
1.2,4.12,33.15,32.5,18.3,10,0
3.78,38.62,105.4,32.1,30.3,6,0
5.05,20.68,53.72,31.8,33.0,6,0
3.62,28.82,46.6,33.6,27.9,6,0
15.08,64.51,145.71,30.8,31.3,9,0
2.01,7.16,21.23,27.4,15.0,9,0
6.5,39.71,69.01,27.6,27.1,7,0
33.08,131.23,202.27,31.7,41.5,3,0
2.99,22.3,42.46,27.7,23.9,6,0
8.11,36.22,107.51,26.3,39.8,8,0
1.53,78.7,178.78,32.9,37.2,7,0
5.35,22.09,58.48,30.0,15.0,5,0
1.0,59.41,199.41,44.0,37.9,8,0
0.65,35.15,132.57,12.0,35.5,9,0
4.44,20.18,39.47,40.7,25.9,3,0
6.74,42.31,123.18,42.0,31.4,11,0
0.72,114.34,217.3,15.4,40.0,7,0
42.15,198.0,363.93,29.3,46.4,7,1
1.54,7.93,69.09,29.0,27.3,8,0
0.77,17.98,39.35,20.7,22.2,14,0
1.36,21.74,67.09,25.8,28.0,12,0
1.11,44.58,151.08,23.1,37.6,10,0
0.57,63.88,138.38,46.0,40.0,7,0
9.59,26.26,45.48,39.5,19.8,9,0
4.11,20.78,32.05,42.2,16.7,8,0
2.95,19.65,33.4,37.8,20.5,4,0
18.05,201.29,276.65,23.0,44.0,3,0
2.78,29.46,54.53,27.8,21.3,5,0
1.1,57.74,96.17,35.9,36.8,7,0
46.84,162.11,217.63,22.2,42.5,11,1
1.64,37.92,95.25,37.7,39.4,6,0
4.14,23.52,205.64,30.1,40.5,7,0
2.07,68.05,230.33,29.0,37.2,10,0
4.35,30.23,76.48,37.7,23.6,3,0
6.64,61.78,142.15,35.6,39.3,10,0
9.01,46.29,165.74,29.1,30.9,4,0
7.43,54.85,178.48,41.3,40.6,6,0
1.38,17.9,101.23,23.4,28.3,6,0
0.74,3.62,60.38,36.9,21.4,7,0
4.69,25.68,54.75,36.7,32.4,3,0
1.33,25.37,43.45,29.5,21.4,9,0
0.53,5.99,35.64,34.6,19.4,11,0
4.49,22.22,47.42,22.0,24.3,7,0
2.37,25.23,282.21,39.4,45.7,7,0
8.47,46.46,85.26,30.5,39.6,9,0
2.26,21.96,157.34,27.8,41.0,10,0
23.1,110.68,249.37,40.4,42.0,11,1
8.53,29.5,72.6,26.4,24.9,6,0
0.36,6.36,17.81,20.7,15.0,11,0
51.85,187.41,412.11,19.5,61.9,4,1
4.96,17.04,72.43,36.8,23.5,5,0
7.13,46.6,137.18,21.8,34.2,11,0
4.13,26.53,182.13,46.0,28.4,3,0
3.96,96.39,183.63,15.3,38.2,5,0
2.75,12.06,30.61,45.6,31.6,5,0
1.9,50.31,96.71,33.7,29.9,6,0
17.53,86.57,151.56,31.2,31.3,12,0
2.29,6.08,70.41,27.6,26.9,8,0
0.39,8.8,19.58,35.2,21.6,0,0
1.1,16.74,63.46,31.7,37.3,5,0
11.68,47.57,86.31,40.8,27.0,6,0
5.3,25.89,60.97,32.9,20.1,7,0
9.05,102.75,247.9,33.2,44.9,9,0
9.93,41.66,94.35,29.1,30.4,10,0
10.4,54.56,124.48,31.5,35.3,5,0
4.8,49.91,141.84,34.5,38.0,4,0
1.17,44.45,71.68,18.3,36.9,7,0
0.96,5.35,45.01,21.2,21.5,8,0
5.12,52.46,211.16,37.9,37.7,6,0
2.74,25.19,88.02,33.4,19.5,8,0
4.9,15.93,47.49,30.5,28.1,8,0
34.73,130.43,287.52,32.1,44.3,6,1
5.53,20.78,87.83,34.8,33.2,5,0
0.2,11.7,33.35,27.7,20.9,6,0
0.2,7.97,53.31,25.8,34.0,7,0
44.33,192.32,295.85,33.6,42.4,9,1
1.29,25.02,103.8,24.2,35.5,3,0
6.34,55.0,112.14,35.3,35.7,5,0
4.75,40.14,154.65,18.4,38.1,6,0
24.04,121.56,270.62,40.2,41.5,7,1
10.83,78.06,142.93,35.8,36.9,3,0
3.2,63.49,154.18,34.0,36.1,7,0
5.75,63.69,119.98,39.9,22.8,10,0
0.75,6.42,14.75,45.3,29.3,6,0
2.93,17.48,37.14,40.1,22.0,5,0
7.94,51.78,107.36,17.3,38.1,4,0
5.85,27.21,66.32,21.8,26.3,4,0
3.98,14.81,39.72,27.0,28.9,7,0
1.17,12.96,19.09,32.2,17.6,6,0
9.75,124.34,230.07,36.1,44.1,5,1
1.91,17.82,29.12,26.2,23.6,6,0
10.3,59.89,113.23,33.5,29.7,6,0
5.67,25.55,58.33,26.0,21.5,4,0
2.8,40.75,107.86,27.1,15.5,10,0
0.25,14.21,22.34,20.7,18.0,10,0
1.59,9.56,30.38,24.6,26.5,1,0
13.19,121.9,229.13,21.2,35.9,6,0
10.22,72.36,112.93,24.2,25.4,7,0
5.13,49.08,117.73,40.4,24.6,7,0
40.31,203.73,338.73,24.4,54.9,7,1
6.25,41.14,131.82,53.1,28.7,3,0
3.77,46.64,122.85,35.9,38.4,7,0
6.2,26.1,218.31,33.5,45.5,5,0
2.2,39.02,80.36,25.1,29.0,9,0
10.94,38.42,107.08,37.6,32.2,9,0
7.26,34.21,161.54,27.4,32.3,10,0
2.4,21.13,53.83,33.0,21.6,3,0
10.66,31.71,69.67,52.5,30.5,4,0
4.01,27.5,72.67,31.2,31.8,11,0
1.15,22.61,67.06,41.2,30.2,10,0
0.49,25.79,46.69,26.4,22.3,11,0
7.22,22.81,98.88,31.7,27.9,4,0
12.02,58.95,227.63,46.2,38.1,11,0
9.88,66.26,110.39,27.0,34.9,8,0
6.4,50.95,149.15,46.5,25.1,8,0
0.91,4.57,17.53,37.7,15.0,6,0
0.59,22.02,39.93,27.5,15.0,3,0
2.54,48.21,117.03,37.1,21.0,7,0
11.58,42.76,68.72,39.8,33.7,9,0
19.58,96.81,234.07,37.0,47.3,5,1
1.66,15.91,25.4,19.4,16.5,6,0
8.62,84.96,154.43,26.2,34.9,4,0
5.12,21.69,65.96,30.0,33.9,5,0
0.19,10.24,103.67,31.4,32.9,7,0
4.7,77.71,176.65,37.0,48.2,6,0
9.84,47.6,90.11,33.4,28.4,7,0
55.63,255.41,484.29,21.3,65.2,3,1
13.66,55.68,195.86,35.0,34.2,7,0
1.62,109.88,191.48,36.9,39.3,8,1
32.29,170.71,379.3,36.5,62.6,7,1
1.05,28.18,70.23,40.6,27.5,9,0
10.88,37.66,76.64,38.7,25.9,7,0
3.24,15.27,53.04,35.7,31.6,10,0
9.57,55.31,161.77,31.4,38.8,6,0
4.55,27.26,54.53,18.7,24.9,8,0
3.93,36.2,194.2,35.4,35.6,2,0
9.87,62.26,127.13,33.7,31.4,4,0
3.3,55.2,97.72,34.2,32.1,6,0
9.72,43.15,68.61,21.8,23.0,10,0
0.64,23.7,69.61,23.4,20.8,5,0
6.07,59.48,110.49,40.4,28.6,12,0
7.28,37.03,65.11,31.7,26.3,3,0
13.76,88.74,333.07,37.5,60.1,12,1
1.52,9.36,38.03,32.2,18.0,6,0
49.75,213.05,361.89,32.2,57.3,7,1
3.41,83.87,188.54,39.5,37.5,11,0
55.3,204.82,386.27,27.9,57.5,5,1
0.68,14.38,36.22,32.8,31.3,4,0
0.86,5.96,24.14,28.3,22.8,4,0
10.88,60.69,116.67,28.5,27.1,10,0
8.31,46.73,137.89,29.5,38.2,3,0
2.89,11.47,25.0,33.8,26.6,4,0
10.58,63.35,168.84,28.2,31.9,11,0
0.51,45.76,80.87,42.0,22.1,5,0
5.88,76.83,171.83,24.8,39.2,8,0
12.16,55.55,105.33,30.5,30.4,6,0
10.95,56.43,84.92,28.5,26.1,8,0
2.8,61.36,156.34,43.6,40.9,8,0
62.24,189.62,344.11,33.6,51.4,8,1
3.35,40.94,258.94,40.3,48.0,5,0
11.0,70.62,130.7,20.1,38.9,4,0
4.54,30.82,75.28,34.1,25.8,10,0
8.69,30.77,55.3,39.1,16.4,5,0
0.49,1.82,4.08,32.7,18.4,11,0
5.35,28.49,57.9,40.5,26.7,7,0
4.79,31.04,102.5,27.9,35.3,5,0
5.65,59.85,147.95,43.3,32.2,9,0
7.14,43.7,101.6,50.4,38.8,7,0
15.01,75.41,163.34,29.1,29.8,10,0
9.24,53.7,100.65,28.4,30.9,4,0
49.82,204.06,329.26,43.6,51.7,3,1
45.97,171.45,290.51,44.6,55.8,8,1
0.78,6.15,116.48,27.8,24.3,10,0
5.84,35.27,107.18,28.6,32.8,7,0
12.86,47.94,204.65,29.7,39.2,4,0
0.64,8.01,26.55,21.2,30.3,7,0
11.37,70.88,150.96,24.7,31.0,7,0
9.62,41.95,105.15,24.0,32.6,11,0
4.2,16.25,78.56,25.9,23.7,8,0
2.22,84.02,130.42,31.7,34.0,1,0
3.12,35.97,278.73,33.9,46.0,10,0
20.78,81.6,245.6,44.4,42.6,9,0
1.35,5.0,14.43,24.0,15.0,11,0
5.2,41.86,118.95,39.9,34.0,4,0
0.52,21.17,59.21,30.3,20.5,8,0
1.47,7.54,89.89,31.6,23.4,7,0
8.65,34.58,100.36,37.4,22.3,9,0
55.97,315.38,466.16,23.0,61.3,7,1
25.51,119.2,218.86,35.1,44.4,16,1
4.17,30.43,52.11,33.3,27.5,4,0
4.36,26.12,39.93,35.9,27.3,10,0
0.22,4.58,11.3,34.3,16.0,5,0
18.81,67.36,133.89,51.6,34.5,6,0
1.15,68.63,166.38,26.9,33.6,5,0
4.64,14.35,45.82,27.8,29.4,2,0
3.02,128.02,241.07,27.0,46.2,5,1
3.22,14.53,35.68,27.6,20.3,2,0
6.19,36.31,82.6,26.9,33.5,7,0
57.49,198.73,469.52,41.5,69.5,12,1
1.01,25.75,59.69,43.4,19.0,5,0
4.15,32.54,65.28,27.4,18.2,7,0
9.38,62.53,95.74,25.3,22.8,10,0
3.51,30.41,89.55,35.8,37.2,7,0
1.09,17.23,93.5,27.6,24.3,6,0
2.25,41.59,83.12,37.1,37.7,9,0
1.43,5.62,16.04,33.6,16.3,12,0
0.81,23.08,104.72,19.9,24.6,11,0
2.84,11.75,19.39,44.4,26.3,7,0
4.67,30.93,80.44,46.4,32.7,11,0
0.45,40.9,82.91,27.1,31.1,9,0
5.56,19.12,121.73,28.9,35.6,10,0
29.79,164.24,319.34,34.3,47.9,13,1
69.62,340.53,600.0,34.7,84.2,7,1
10.6,44.93,119.43,37.3,33.1,4,0
1.86,6.63,36.93,48.1,21.9,5,0
0.14,39.5,89.95,30.6,29.5,5,0
10.76,94.53,186.34,25.6,43.9,8,0
0.34,6.16,33.16,21.0,25.3,9,0
1.38,67.83,145.03,26.2,23.7,6,0
4.72,76.86,163.42,31.7,40.8,10,0
28.54,127.6,229.54,46.4,47.0,2,1
10.77,82.68,189.39,27.9,37.0,8,0
9.01,42.65,114.44,33.8,32.0,9,0
8.46,58.28,125.85,31.9,33.1,5,0
10.16,52.62,86.22,41.5,18.7,6,0
1.49,8.93,52.9,52.2,23.3,8,0
34.35,166.55,330.81,27.8,51.3,7,1
2.63,10.4,35.63,28.1,22.8,7,0
6.59,43.84,95.74,40.4,26.9,9,0
0.78,53.3,116.26,37.5,34.9,3,0
7.34,34.72,112.71,46.8,27.2,6,0
21.48,92.08,139.0,36.7,38.5,5,1
0.27,22.92,114.61,29.1,34.5,9,0
0.59,9.05,63.9,36.7,33.2,8,0
0.79,49.68,88.62,40.9,37.5,6,0
3.38,24.82,132.64,38.6,42.0,5,0
2.06,29.49,96.85,36.1,23.8,12,0
9.87,32.77,156.15,40.5,37.3,7,0
3.85,13.06,51.08,41.4,21.5,7,0
3.98,18.47,56.48,43.1,42.0,5,0
7.57,31.28,84.6,37.2,31.5,6,0
2.7,26.56,60.55,30.7,33.1,5,0
2.61,31.19,125.94,33.2,34.8,6,0
8.49,24.34,71.84,41.7,15.0,6,0
9.09,30.41,88.52,25.5,24.9,7,0
0.09,16.88,118.74,34.9,28.4,5,0
0.93,43.92,237.92,28.9,41.8,5,0
1.44,28.83,51.68,32.2,27.0,6,0
2.6,11.68,70.65,42.2,29.6,10,0
2.07,62.57,161.29,33.5,23.0,3,0
6.63,91.71,148.63,32.4,33.7,4,0
10.57,57.36,235.42,21.1,41.1,6,0
1.28,29.57,112.78,38.0,38.2,9,0
4.97,36.5,111.13,37.2,34.1,7,0
2.75,82.18,164.35,49.3,35.5,10,0
4.23,34.76,112.57,29.5,32.4,6,0
5.82,105.03,166.65,33.8,28.2,10,1
13.44,64.76,121.62,34.0,35.5,6,0
1.28,14.94,42.97,44.6,22.3,16,0
0.55,39.83,79.36,31.2,23.9,7,0
5.92,58.52,145.32,34.2,41.1,1,0
3.01,44.42,138.76,36.9,35.2,14,0
1.07,53.41,89.87,33.5,25.7,3,0
0.75,33.48,118.73,28.4,28.9,10,0
4.91,42.03,65.96,33.6,28.4,4,0
2.14,22.27,54.57,40.6,26.9,6,0
35.77,175.53,393.12,23.8,59.5,7,1
3.12,22.29,81.5,33.1,22.1,10,0
50.77,173.67,278.62,26.4,42.6,12,1
5.95,36.43,77.86,41.6,24.0,6,0
1.68,8.79,16.84,19.8,20.7,11,0
4.09,16.3,63.72,27.5,26.2,10,0
3.95,76.78,181.11,35.0,37.3,8,0
3.63,10.91,32.35,44.5,22.7,7,0
9.54,37.7,75.0,31.5,36.9,8,0
1.46,19.49,34.44,27.6,27.7,6,0
14.08,55.84,110.54,47.0,37.0,10,0
9.4,40.2,101.48,20.4,32.5,11,0
2.43,12.93,50.09,14.4,25.4,6,0
1.2,7.25,46.34,35.5,26.7,9,0
1.97,46.58,94.21,28.0,30.5,6,0
60.49,217.33,564.53,23.8,80.5,8,1
4.88,19.21,54.04,37.7,20.5,9,0
0.28,28.53,56.55,34.0,29.3,8,0
14.75,75.98,152.99,27.5,36.1,10,0
0.62,34.0,81.65,21.8,19.1,5,0
1.96,24.55,65.4,39.0,27.0,9,0
0.69,10.45,52.91,37.2,18.8,3,0
1.78,31.83,140.56,31.2,31.4,8,0
10.91,52.24,123.11,46.8,31.5,10,0
5.73,21.53,113.76,23.4,23.8,2,0
1.55,19.2,41.69,19.8,23.9,5,0
12.32,76.44,175.06,26.5,37.8,3,0
9.68,56.56,114.63,31.6,35.2,7,0
8.41,45.77,125.94,33.9,30.3,7,0
11.29,82.21,184.12,30.1,39.8,5,0
5.8,73.19,193.11,34.8,38.8,7,0
4.18,29.57,72.63,22.0,25.2,9,0
2.81,19.87,44.39,43.6,16.1,3,0
1.52,30.33,64.55,31.3,25.9,7,0
4.89,17.96,46.49,40.9,28.4,11,0
65.3,214.41,351.59,34.7,50.5,9,1
5.41,59.88,91.16,35.7,28.0,7,0
15.12,57.11,114.13,36.6,31.1,3,0
2.65,12.18,62.25,35.6,31.7,9,0
7.13,26.57,65.14,37.1,26.7,7,0
6.28,49.47,69.38,42.6,28.4,4,0
6.66,32.07,75.74,33.6,27.5,9,0
6.21,39.28,166.96,37.7,34.2,3,0
1.5,16.31,56.88,31.3,20.0,12,0
0.93,8.02,163.31,43.5,34.9,6,0
23.07,91.91,226.99,26.6,44.7,4,0
0.28,16.62,141.4,46.4,34.8,7,0
3.78,34.3,65.96,31.7,34.0,4,0
3.32,17.54,42.65,20.6,29.0,6,0
2.68,17.78,81.1,33.0,34.3,9,0
9.14,82.92,264.46,26.6,36.3,10,0
8.21,64.34,185.05,38.7,46.4,10,0
14.14,74.48,149.31,26.8,36.3,6,0
3.02,14.23,22.62,28.4,24.3,6,0
4.98,22.79,64.66,16.9,30.9,4,0
13.37,76.42,143.07,28.4,34.4,9,0
30.55,128.38,267.02,12.6,41.3,9,0
20.9,116.16,186.62,19.3,45.9,12,0
7.59,70.99,158.16,38.1,32.0,6,0
0.93,3.72,71.16,38.3,22.2,5,0
0.14,43.54,79.19,35.4,26.7,8,0
10.47,100.68,195.5,24.3,37.6,10,0
11.03,44.58,107.54,31.6,30.8,7,0
8.23,41.28,97.42,32.0,29.3,7,0
1.97,27.62,62.61,22.7,33.0,5,0
6.13,23.63,54.65,44.0,27.8,5,0
2.28,25.07,150.29,39.0,30.7,2,0
3.59,66.78,107.35,30.2,27.1,5,0
2.89,58.01,110.37,32.2,29.1,14,0
14.7,109.82,262.14,33.7,44.3,3,0
1.6,21.82,54.1,15.7,22.8,9,0
5.17,35.9,82.1,30.0,22.7,10,0
2.69,39.0,66.17,26.5,28.1,4,0
6.53,35.88,83.41,24.0,26.1,5,0
4.99,14.96,72.35,29.8,22.5,5,0
15.46,75.98,168.96,46.4,39.3,9,0
0.64,10.34,37.26,37.1,28.0,5,0
1.5,5.63,52.53,27.4,24.0,8,0
8.72,23.78,50.55,36.6,34.0,6,0
2.76,77.59,171.14,43.2,48.2,7,0
1.09,11.25,41.65,39.4,26.6,5,0
4.2,27.79,64.96,32.5,24.2,9,0
6.34,100.89,214.38,26.8,42.8,3,0
0.28,16.87,73.5,37.6,21.2,3,0
2.07,9.25,59.84,35.1,21.6,10,0
9.95,46.86,142.12,39.2,25.8,5,0
4.41,21.42,38.84,37.1,20.7,1,0
0.22,3.33,5.37,40.4,15.0,2,0
1.99,53.63,109.01,27.7,34.0,7,0
6.12,31.3,141.02,42.5,30.4,10,0
1.33,32.8,121.64,33.6,33.5,7,0
10.54,57.52,189.45,48.6,42.7,7,0
6.77,29.64,72.45,26.5,33.1,4,0
3.82,31.51,81.58,45.9,26.4,6,0
14.83,60.71,121.8,33.6,33.7,9,0
2.98,21.78,104.43,26.8,32.2,8,0
55.71,166.68,334.79,28.1,59.8,4,1
6.5,23.58,51.6,29.4,29.1,11,0
5.11,42.88,71.82,35.4,33.7,9,0
2.45,9.56,60.28,36.2,17.7,3,0
2.53,24.29,52.2,27.4,21.9,12,0
3.05,42.97,135.5,31.8,38.7,0,0
2.06,20.02,48.09,49.1,27.7,6,0
7.43,80.95,171.04,45.8,36.5,4,0
6.32,50.59,107.9,35.5,28.4,4,0
3.49,89.13,157.81,32.3,39.7,8,0
3.04,19.93,47.87,33.0,15.0,12,0
2.73,81.89,250.48,36.9,49.0,4,0
2.0,29.11,189.17,23.8,39.4,5,0
0.54,36.5,88.71,29.9,26.4,6,0
1.87,65.07,138.95,18.7,36.4,8,0
2.32,28.59,79.52,35.2,26.0,11,0
4.76,61.94,144.93,37.2,34.6,6,0
8.92,55.15,187.36,28.1,38.5,5,0
3.02,33.3,66.09,44.6,30.3,6,0
17.38,83.23,171.57,22.2,38.0,5,0
10.54,47.34,193.69,20.3,29.8,5,0
25.12,109.27,238.1,33.8,36.8,5,1
12.53,132.74,278.03,40.4,42.4,8,1
5.75,54.7,104.73,45.5,32.8,9,0
5.47,49.85,201.37,28.3,42.9,6,0
0.83,29.3,115.8,40.6,39.9,10,0
51.76,152.89,402.18,31.7,55.1,8,1
5.5,22.63,141.31,30.6,40.7,9,0
4.24,19.8,31.73,39.1,15.0,11,0
7.09,30.16,69.38,37.2,27.0,8,0
3.52,40.15,99.18,19.4,31.1,5,0
40.11,221.99,535.3,43.8,74.7,6,1
51.77,213.57,338.42,43.0,52.3,5,1
7.58,34.27,136.25,27.0,34.2,11,0
12.55,44.09,101.75,35.2,24.0,7,0
11.03,41.78,127.97,36.0,37.1,13,0
9.25,40.62,87.48,34.1,30.0,4,0
0.08,7.95,38.84,27.6,25.7,9,0
64.49,264.26,501.47,26.6,68.8,2,1
1.93,65.0,107.5,31.8,29.1,5,0
13.13,46.45,96.05,41.4,32.2,3,0
1.32,43.4,83.66,36.3,36.3,6,0
3.48,34.86,86.17,29.0,21.6,9,0
8.3,39.01,112.06,38.2,24.0,4,0
6.13,58.53,136.01,12.0,34.9,8,0
3.23,35.06,76.96,41.2,26.0,8,0
6.81,24.62,124.63,18.1,33.1,6,0
4.78,19.91,85.37,29.1,28.4,4,0
1.94,40.83,58.41,23.0,29.0,10,0
6.24,33.85,107.3,21.6,29.3,5,0
1.37,18.63,198.44,41.3,33.8,5,0
7.1,31.91,147.67,28.3,30.8,8,0
0.02,4.35,71.6,34.8,26.4,4,0
4.77,57.89,115.06,31.6,25.2,9,0
3.08,52.42,118.33,35.8,31.6,9,0
2.17,29.65,102.11,32.6,30.5,7,0
4.35,26.32,84.69,21.7,26.7,9,0
6.22,90.36,170.15,40.0,38.1,4,1
20.17,111.93,200.42,28.0,32.0,8,0
10.74,70.29,165.65,19.5,31.8,10,0
7.58,29.43,74.39,28.6,21.7,7,0
3.91,32.27,73.07,44.0,31.7,4,0
2.99,60.51,142.58,38.8,45.8,7,0
0.2,10.82,98.12,29.2,25.4,8,0
2.67,43.01,76.65,29.2,26.5,8,0
59.96,177.53,387.4,29.4,55.3,7,1
2.91,16.47,55.72,48.6,26.7,6,0
3.71,46.99,67.6,35.1,23.7,6,0
1.9,10.23,20.47,35.4,23.5,7,0
1.92,38.8,75.62,40.2,30.9,10,0
0.38,118.79,193.26,33.9,33.2,11,0
5.71,103.77,247.09,29.9,46.1,4,0
61.7,286.61,600.0,30.4,71.0,8,1
5.59,36.89,144.04,31.4,33.1,7,0
4.75,42.66,116.87,31.7,30.1,9,0
9.62,70.78,150.29,37.8,33.9,7,0
46.19,192.98,383.1,32.4,56.7,3,1
8.86,37.52,94.0,37.9,26.9,8,0
4.15,38.41,115.63,31.4,30.2,5,0
2.62,7.91,31.33,32.6,24.3,7,0
16.26,128.27,326.99,16.0,54.0,8,0
0.33,18.16,67.93,39.3,27.4,5,0
0.99,10.96,80.97,34.8,25.2,4,0
3.26,24.01,70.12,40.0,32.4,5,0
5.71,68.34,106.7,12.0,38.3,7,0
0.05,65.7,174.58,48.7,31.0,10,0
7.62,33.46,61.38,30.9,27.0,9,0
4.91,58.3,127.99,40.9,30.5,2,0
3.98,35.56,93.69,23.7,34.0,1,0
3.3,34.41,67.95,36.9,26.7,4,0
4.4,56.3,96.77,23.6,29.9,6,0
1.06,9.44,32.07,27.0,25.7,7,0
0.69,21.27,36.72,47.3,22.2,10,0
2.05,17.29,91.86,30.5,37.6,8,0
7.42,34.6,85.02,33.7,31.1,5,0
5.32,16.26,39.5,39.0,28.6,4,0
3.92,15.15,45.88,36.0,23.5,12,0
5.09,38.95,107.21,33.2,30.1,3,0
4.92,18.3,26.04,34.9,26.7,9,0
2.2,27.85,70.81,51.2,30.6,6,0
0.62,24.45,76.56,31.5,21.4,5,0
13.63,116.76,272.28,33.6,47.9,10,1
5.5,45.36,122.64,40.4,34.6,3,0
7.18,127.41,233.77,40.8,42.7,11,1
3.74,16.61,48.77,41.5,26.8,7,0
8.48,62.35,123.79,37.1,31.9,3,0
5.27,16.15,26.64,22.9,15.0,10,0
0.33,33.75,134.96,45.1,26.9,3,0
13.25,66.24,141.1,22.8,39.0,9,0
2.19,32.33,44.36,34.4,23.2,12,0
0.89,12.51,22.04,26.0,23.2,8,0
0.55,5.87,48.2,31.5,24.8,5,0
7.65,63.54,130.04,34.6,28.9,4,0
7.3,81.5,155.87,34.6,33.3,7,0
7.23,34.29,135.44,35.4,35.2,8,0
14.84,119.7,178.46,44.9,40.0,9,1
2.57,11.57,30.61,35.6,34.0,6,0
4.94,47.72,89.06,30.0,26.5,3,0
5.8,96.14,302.83,39.7,58.6,7,1
23.32,73.57,168.88,41.5,32.6,10,0
2.25,20.6,79.76,22.2,30.4,9,0
18.79,80.44,137.46,36.8,34.6,6,0
0.97,15.87,47.67,37.6,24.1,10,0
8.66,66.79,163.35,29.6,36.3,7,0
6.01,49.81,92.97,43.0,26.2,4,0
10.19,128.66,262.32,30.8,50.8,7,0
0.17,5.88,77.02,33.0,23.5,5,0
0.49,21.04,39.74,30.6,25.6,5,0
0.43,16.5,56.61,32.1,29.4,8,0
5.39,77.12,179.56,23.2,44.9,7,0
5.54,15.45,61.86,20.5,31.0,8,0
14.19,167.2,325.91,44.8,55.5,11,1
3.78,29.47,69.02,25.2,23.7,8,0
0.42,26.26,77.83,24.1,23.9,4,0
1.41,15.89,162.29,14.8,30.5,8,0
0.05,47.99,233.29,26.9,37.2,6,0
9.0,58.82,101.22,21.4,30.1,14,0
10.14,54.22,120.56,45.1,28.4,6,0
37.11,132.97,222.79,40.1,48.3,11,1
3.19,21.05,53.8,26.5,22.5,3,0
0.12,2.5,53.76,50.0,25.8,4,0
